AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
0.00; 4.505;0.433;0.000
10.00; 4.535;0.433;2.000
20.00; 4.560;0.433;3.000
30.00; 4.580;0.433;4.000
40.00; 4.605;0.433;5.000
50.00; 4.605;0.433;6.000
60.00; 4.630;0.433;7.000
70.00; 4.650;0.433;9.000
80.00; 4.660;0.433;10.000
90.00; 4.680;0.433;11.000
100.00; 4.695;0.433;12.000
110.00; 4.710;0.433;13.000
120.00; 4.725;0.433;14.000
130.00; 4.730;0.433;16.000
140.00; 4.740;0.433;17.000
150.00; 4.755;0.433;18.000
160.00; 4.760;0.433;19.000
170.00; 4.770;0.433;20.000
180.00; 4.785;0.433;21.000
190.00; 4.785;0.433;23.000
200.00; 4.785;0.433;24.000
210.00; 4.810;0.433;25.000
220.00; 4.820;0.433;26.000
230.00; 4.815;0.433;27.000
240.00; 4.835;0.433;28.000
250.00; 4.840;0.433;30.000
260.00; 4.860;0.433;31.000
270.00; 4.830;0.433;32.000
280.00; 4.870;0.433;33.000
290.00; 4.865;0.433;34.000
300.00; 4.865;0.433;36.000
310.00; 4.880;0.433;38.000
320.00; 4.890;0.433;39.000
330.00; 4.890;0.433;40.000
340.00; 4.895;0.433;41.000
350.00; 4.915;0.433;42.000
360.00; 4.905;0.433;43.000
370.00; 4.920;0.433;45.000
380.00; 4.925;0.433;46.000
390.00; 4.920;0.433;47.000
400.00; 4.940;0.433;48.000
410.00; 4.955;0.433;49.000
420.00; 4.955;0.433;50.000
430.00; 4.965;0.433;52.000
440.00; 4.950;0.433;53.000
450.00; 4.955;0.433;54.000
460.00; 4.965;0.433;55.000
470.00; 4.980;0.433;56.000
480.00; 4.980;0.433;57.000
490.00; 4.980;0.433;59.000
500.00; 4.990;0.433;60.000
510.00; 4.995;0.433;61.000
520.00; 4.995;0.433;62.000
530.00; 5.000;0.433;63.000
540.00; 5.010;0.433;64.000
550.00; 5.010;0.433;66.000
560.00; 5.010;0.433;67.000
570.00; 5.010;0.433;68.000
580.00; 5.005;0.433;69.000
590.00; 5.040;0.433;70.000
600.00; 5.045;0.433;72.000
610.00; 5.030;0.433;74.000
620.00; 5.040;0.433;75.000
630.00; 5.060;0.433;76.000
640.00; 5.055;0.433;77.000
650.00; 5.075;0.433;78.000
660.00; 5.055;0.433;79.000
670.00; 5.070;0.433;81.000
680.00; 5.065;0.433;82.000
690.00; 5.080;0.433;83.000
