AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
0.00; 5.130;0.150;1.000
10.00; 5.125;0.150;2.000
20.00; 5.110;0.150;2.000
30.00; 5.125;0.150;2.000
40.00; 5.115;0.150;3.000
50.00; 5.105;0.150;3.000
60.00; 5.110;0.150;3.000
70.00; 5.105;0.150;4.000
80.00; 5.100;0.150;5.000
90.00; 5.095;0.150;5.000
100.00; 5.090;0.150;6.000
110.00; 5.090;0.150;6.000
120.00; 5.090;0.150;6.000
130.00; 5.090;0.150;7.000
140.00; 5.070;0.150;7.000
150.00; 5.075;0.150;7.000
160.00; 5.075;0.150;8.000
170.00; 5.075;0.150;8.000
180.00; 5.070;0.150;8.000
190.00; 5.075;0.150;9.000
200.00; 5.075;0.150;10.000
210.00; 5.070;0.150;10.000
220.00; 5.070;0.150;11.000
230.00; 5.055;0.150;11.000
240.00; 5.060;0.150;11.000
250.00; 5.075;0.150;12.000
260.00; 5.055;0.150;12.000
270.00; 5.050;0.150;12.000
280.00; 5.055;0.150;13.000
290.00; 5.045;0.150;13.000
300.00; 5.055;0.150;13.000
310.00; 5.050;0.150;14.000
320.00; 5.045;0.150;15.000
330.00; 5.045;0.150;15.000
340.00; 5.040;0.150;16.000
350.00; 5.050;0.150;16.000
360.00; 5.060;0.150;16.000
370.00; 5.040;0.150;17.000
380.00; 5.055;0.150;17.000
390.00; 5.040;0.150;17.000
400.00; 5.045;0.150;18.000
410.00; 5.035;0.150;18.000
420.00; 5.035;0.150;18.000
430.00; 5.030;0.150;19.000
440.00; 5.045;0.150;20.000
450.00; 5.025;0.150;20.000
460.00; 5.040;0.150;21.000
470.00; 5.030;0.150;21.000
480.00; 5.035;0.150;21.000
490.00; 5.025;0.150;22.000
500.00; 5.030;0.150;22.000
510.00; 5.030;0.150;22.000
520.00; 5.020;0.150;23.000
530.00; 5.030;0.150;23.000
540.00; 5.025;0.150;23.000
550.00; 5.030;0.150;24.000
560.00; 5.030;0.150;25.000
570.00; 5.020;0.150;25.000
580.00; 5.025;0.150;26.000
590.00; 5.030;0.150;26.000
600.00; 5.015;0.150;26.000
610.00; 5.030;0.150;27.000
620.00; 5.005;0.150;27.000
630.00; 5.030;0.150;27.000
640.00; 5.025;0.150;28.000
650.00; 5.025;0.150;28.000
660.00; 5.020;0.150;28.000
670.00; 5.020;0.150;29.000
680.00; 5.020;0.150;30.000
690.00; 5.015;0.150;30.000
700.00; 5.015;0.150;31.000
710.00; 5.015;0.150;31.000
720.00; 5.025;0.150;31.000
730.00; 5.030;0.150;32.000
740.00; 5.025;0.150;32.000
750.00; 5.025;0.150;32.000
760.00; 5.010;0.150;33.000
770.00; 5.015;0.150;33.000
780.00; 5.000;0.150;33.000
790.00; 5.015;0.150;34.000
800.00; 5.025;0.150;35.000
810.00; 5.015;0.150;35.000
820.00; 5.015;0.150;36.000
830.00; 5.015;0.150;36.000
840.00; 5.010;0.150;36.000
850.00; 5.010;0.150;37.000
860.00; 5.010;0.150;37.000
870.00; 5.015;0.150;37.000
880.00; 5.010;0.150;38.000
890.00; 5.000;0.150;38.000
900.00; 5.025;0.150;38.000
910.00; 5.020;0.150;39.000
920.00; 5.025;0.150;40.000
930.00; 5.025;0.150;40.000
940.00; 5.015;0.150;41.000
950.00; 5.025;0.150;41.000
960.00; 5.015;0.150;41.000
970.00; 5.010;0.150;42.000
980.00; 5.020;0.150;42.000
990.00; 5.015;0.150;42.000
1000.00; 5.010;0.150;43.000
1010.00; 5.010;0.150;43.000
1020.00; 5.020;0.150;43.000
1030.00; 5.010;0.150;44.000
1040.00; 5.010;0.150;45.000
1050.00; 5.010;0.150;45.000
1060.00; 5.025;0.150;46.000
1070.00; 5.010;0.150;46.000
1080.00; 4.995;0.150;46.000
1090.00; 5.000;0.150;47.000
1100.00; 5.000;0.150;47.000
1110.00; 5.015;0.150;47.000
1120.00; 5.025;0.150;48.000
1130.00; 4.995;0.150;48.000
1140.00; 5.015;0.150;48.000
1150.00; 5.010;0.150;49.000
1160.00; 5.010;0.150;50.000
1170.00; 5.020;0.150;50.000
1180.00; 5.020;0.150;51.000
1190.00; 5.000;0.150;51.000
1200.00; 5.005;0.150;51.000
1210.00; 5.000;0.150;52.000
1220.00; 5.005;0.150;52.000
1230.00; 5.000;0.150;52.000
1240.00; 5.000;0.150;53.000
1250.00; 5.000;0.150;53.000
1260.00; 5.010;0.150;53.000
1270.00; 5.005;0.150;54.000
1280.00; 5.010;0.150;55.000
1290.00; 4.995;0.150;55.000
1300.00; 5.010;0.150;56.000
1310.00; 5.000;0.150;56.000
1320.00; 5.000;0.150;56.000
1330.00; 5.010;0.150;57.000
1340.00; 5.010;0.150;57.000
1350.00; 5.010;0.150;57.000
1360.00; 5.000;0.150;58.000
1370.00; 5.020;0.150;58.000
1380.00; 5.010;0.150;58.000
1390.00; 5.000;0.150;59.000
1400.00; 5.000;0.150;60.000
1410.00; 5.005;0.150;60.000
1420.00; 4.995;0.150;61.000
1430.00; 5.015;0.150;61.000
1440.00; 5.005;0.150;61.000
1450.00; 5.015;0.150;62.000
1460.00; 5.000;0.150;62.000
1470.00; 4.995;0.150;62.000
1480.00; 5.015;0.150;63.000
1490.00; 5.000;0.150;63.000
1500.00; 5.010;0.150;63.000
1510.00; 5.005;0.150;64.000
1520.00; 5.015;0.150;65.000
1530.00; 4.995;0.150;65.000
1540.00; 5.010;0.150;66.000
1550.00; 5.000;0.150;66.000
1560.00; 5.000;0.150;66.000
1570.00; 5.000;0.150;67.000
1580.00; 5.000;0.150;67.000
1590.00; 5.010;0.150;67.000
1600.00; 5.000;0.150;68.000
1610.00; 5.010;0.150;68.000
