AkkuMasterC4
Zeit [sec];Spannung [V];Strom [A];Ladung [mAh]
0.00; 4.385;0.500;0.000
10.00; 4.530;0.500;1.000
20.00; 4.650;0.500;3.000
30.00; 4.765;0.500;4.000
40.00; 4.885;0.500;5.000
50.00; 5.020;0.500;7.000
60.00; 5.160;0.500;8.000
70.00; 5.315;0.500;9.000
80.00; 5.445;0.500;11.000
90.00; 5.565;0.500;12.000
100.00; 5.625;0.500;13.000
110.00; 5.690;0.500;15.000
120.00; 5.735;0.500;16.000
130.00; 5.775;0.500;17.000
140.00; 5.800;0.500;19.000
150.00; 5.795;0.500;20.000
160.00; 5.845;0.500;21.000
170.00; 5.870;0.500;23.000
180.00; 5.885;0.500;25.000
190.00; 5.910;0.500;26.000
200.00; 5.925;0.500;28.000
210.00; 5.940;0.500;29.000
220.00; 5.950;0.500;30.000
230.00; 5.975;0.500;32.000
240.00; 5.985;0.500;33.000
250.00; 5.990;0.500;34.000
260.00; 6.030;0.500;36.000
270.00; 6.020;0.500;37.000
280.00; 6.020;0.500;38.000
290.00; 6.030;0.500;40.000
300.00; 6.055;0.500;41.000
310.00; 6.070;0.500;42.000
320.00; 6.070;0.500;44.000
330.00; 6.075;0.500;45.000
340.00; 6.095;0.500;46.000
350.00; 6.100;0.500;48.000
360.00; 6.110;0.500;50.000
370.00; 6.120;0.500;51.000
380.00; 6.125;0.500;53.000
390.00; 6.125;0.500;54.000
400.00; 6.135;0.500;55.000
410.00; 6.140;0.500;57.000
420.00; 6.140;0.500;58.000
430.00; 6.155;0.500;59.000
440.00; 6.165;0.500;61.000
450.00; 6.170;0.500;62.000
460.00; 6.160;0.500;63.000
470.00; 6.170;0.500;65.000
480.00; 6.185;0.500;66.000
490.00; 6.180;0.500;67.000
500.00; 6.210;0.500;69.000
510.00; 6.215;0.500;70.000
520.00; 6.210;0.500;71.000
530.00; 6.215;0.500;73.000
540.00; 6.200;0.500;75.000
550.00; 6.230;0.500;76.000
560.00; 6.240;0.500;78.000
570.00; 6.210;0.500;79.000
580.00; 6.240;0.500;80.000
590.00; 6.255;0.500;82.000
600.00; 6.245;0.500;83.000
610.00; 6.255;0.500;84.000
620.00; 6.260;0.500;86.000
630.00; 6.275;0.500;87.000
640.00; 6.260;0.500;88.000
650.00; 6.270;0.500;90.000
660.00; 6.275;0.500;91.000
670.00; 6.285;0.500;92.000
680.00; 6.285;0.500;94.000
690.00; 6.285;0.500;95.000
700.00; 6.305;0.500;96.000
710.00; 6.305;0.500;98.000
720.00; 6.315;0.500;100.000
730.00; 6.300;0.500;101.000
740.00; 6.305;0.500;103.000
750.00; 6.330;0.500;104.000
760.00; 6.320;0.500;105.000
770.00; 6.320;0.500;107.000
780.00; 6.315;0.500;108.000
790.00; 6.330;0.500;109.000
800.00; 6.330;0.500;111.000
810.00; 6.340;0.500;112.000
820.00; 6.335;0.500;113.000
830.00; 6.335;0.500;115.000
840.00; 6.335;0.500;116.000
850.00; 6.355;0.500;117.000
860.00; 6.360;0.500;119.000
870.00; 6.360;0.500;120.000
880.00; 6.365;0.500;121.000
890.00; 6.365;0.500;123.000
900.00; 6.370;0.500;125.000
910.00; 6.360;0.500;126.000
920.00; 6.380;0.500;128.000
930.00; 6.380;0.500;129.000
940.00; 6.360;0.500;130.000
950.00; 6.375;0.500;132.000
960.00; 6.390;0.500;133.000
970.00; 6.390;0.500;134.000
980.00; 6.390;0.500;136.000
990.00; 6.395;0.500;137.000
1000.00; 6.395;0.500;138.000
1010.00; 6.395;0.500;140.000
1020.00; 6.405;0.500;141.000
1030.00; 6.410;0.500;142.000
1040.00; 6.405;0.500;144.000
1050.00; 6.410;0.500;145.000
1060.00; 6.410;0.500;146.000
1070.00; 6.425;0.500;148.000
1080.00; 6.425;0.500;150.000
1090.00; 6.430;0.500;151.000
1100.00; 6.420;0.500;153.000
1110.00; 6.435;0.500;154.000
1120.00; 6.440;0.500;155.000
1130.00; 6.435;0.500;157.000
1140.00; 6.410;0.500;158.000
1150.00; 6.445;0.500;159.000
1160.00; 6.440;0.500;161.000
1170.00; 6.455;0.500;162.000
1180.00; 6.470;0.500;163.000
1190.00; 6.460;0.500;165.000
1200.00; 6.455;0.500;166.000
1210.00; 6.465;0.500;167.000
1220.00; 6.455;0.500;169.000
1230.00; 6.455;0.500;170.000
1240.00; 6.475;0.500;171.000
1250.00; 6.470;0.500;173.000
1260.00; 6.470;0.500;175.000
1270.00; 6.470;0.500;176.000
1280.00; 6.470;0.500;178.000
1290.00; 6.480;0.500;179.000
1300.00; 6.475;0.500;180.000
1310.00; 6.470;0.500;182.000
1320.00; 6.485;0.500;183.000
1330.00; 6.490;0.500;184.000
