Timer1,Timer2,Volt1,Volt2,Temp1(C),TELEM_0,AIL,ELE,THR,RUD,AUX4,AUX5,RUD_DR0,RUD_DR1,ELE_DR0,ELE_DR1,AIL_DR0,AIL_DR1,GEAR0,GEAR1,MIX0,MIX1,MIX2,FMODE0,FMODE1,FMODE2,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8,Channel9,Channel10,Virt1,Virt2,Latitude,Longitude,Altitude(m),Velocity(m/s),GPSTime
00:00,37:39,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-108,0,2,-100,-100,0,0,0,0,0,047 00 00.952,008 00 00.928,507.400,0.400,15:04:07 2017-02-03
00:01,37:40,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-108,0,2,-100,-100,0,0,0,0,0,047 00 00.934,008 00 00.922,507.400,0.400,15:04:08 2017-02-03
00:02,37:41,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,4,-108,0,4,-100,-100,0,0,0,0,0,047 00 00.922,008 00 00.922,507.500,0.400,15:04:09 2017-02-03
00:03,37:42,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,4,-108,0,4,-100,-100,0,0,0,0,0,047 00 00.910,008 00 00.922,507.500,0.390,15:04:10 2017-02-03
00:04,37:43,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,4,-108,0,4,-100,-100,0,0,0,0,0,047 00 00.898,008 00 00.922,507.500,0.390,15:04:11 2017-02-03
00:05,37:44,5.5,11.3,30,0,0,0,-100,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,4,-108,0,4,-100,-100,0,0,0,0,0,047 00 00.886,008 00 00.916,507.500,0.380,15:04:12 2017-02-03
00:06,37:45,5.5,11.2,30,0,0,0,-72,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-78,0,2,-100,-100,0,0,0,0,0,047 00 00.868,008 00 00.916,507.500,0.380,15:04:13 2017-02-03
00:07,37:46,5.5,11.2,30,0,0,0,-72,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-78,0,2,-100,-100,0,0,0,0,0,047 00 00.856,008 00 00.916,507.500,0.380,15:04:14 2017-02-03
00:08,37:47,5.5,11.2,30,0,0,0,-63,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-68,0,2,-100,-100,0,0,0,0,0,047 00 00.844,008 00 00.916,507.500,0.370,15:04:15 2017-02-03
00:09,37:48,5.5,11.1,30,0,0,0,-48,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-52,0,2,-100,-100,0,0,0,0,0,047 00 00.832,008 00 00.910,507.500,0.370,15:04:16 2017-02-03
00:10,37:49,5.5,10.8,30,0,0,0,-20,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-21,0,2,-100,-100,0,0,0,0,0,047 00 00.820,008 00 00.910,507.500,0.370,15:04:17 2017-02-03
00:11,37:50,5.5,10.8,30,0,0,0,-17,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-11,2,-18,0,2,-100,-100,0,0,0,0,0,047 00 00.808,008 00 00.910,507.500,0.360,15:04:18 2017-02-03
00:12,37:51,5.5,10.4,29,0,0,-19,23,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-24,2,25,0,2,-100,-100,0,0,0,0,0,047 00 00.796,008 00 00.910,507.500,0.360,15:04:19 2017-02-03
00:13,37:52,5.4,10.7,29,0,-21,-17,3,-24,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-23,-9,4,-30,-23,-100,-100,0,0,0,0,0,047 00 00.596,008 00 00.772,507.500,11.900,15:04:20 2017-02-03
00:14,37:53,5.5,10.3,29,0,60,-2,23,54,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-12,79,25,67,41,-100,-100,0,0,0,0,0,047 00 00.500,008 00 00.856,507.600,13.700,15:04:21 2017-02-03
00:15,37:54,5.5,11.0,29,0,0,0,-5,0,1,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-12,2,-5,0,2,-100,-100,0,0,0,0,0,047 00 00.482,008 00 00.018,507.600,8.450,15:04:22 2017-02-03
00:15,37:55,5.5,11.3,29,0,0,-1,-97,0,0,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-12,2,-105,0,2,-100,-100,0,0,0,0,0,047 00 00.284,008 00 00.270,507.600,0.000,15:04:44 2017-02-03
00:16,37:56,5.5,11.1,29,0,0,-1,-78,0,0,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-12,4,-84,0,4,-100,-100,0,0,0,0,0,047 00 00.284,008 00 00.270,507.600,0.000,15:04:45 2017-02-03
00:17,37:57,5.5,11.1,29,0,0,-1,-53,0,0,-18,100,-100,100,-100,100,-100,-100,100,-100,100,-100,100,-100,-100,-12,2,-57,0,2,-100,-100,0,0,0,0,0,047 00 00.284,008 00 00.270,507.600,0.010,15:04:46 2017-02-03
