$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;0,08;;;;;;;;;;;;;;;;;
$D;0,15;;;;;;;;;;;;;;;;;
$D;0,29;;;;;;;;;;;;;;;;;
$D;0,36;;;;;;;;;;;;;;;;;
$D;0,43;;;;;;;;;;;;;;;;;
$D;0,56;;;;;;;;;;;;;;;;;
$D;0,70;;;;;;;;;;;;;;;;;
$D;0,77;;;;;;;;;;;;;;;;;
$D;0,84;;;;;;;;;;;;;;;;;
$D;0,98;;;;;;;;;;;;;;;;;
$D;1,05;;;;;;;;;;;0,3;;;;;0,1;
$D;1,15;;;;;;;;;;;;1,0;;;;0,0;
$D;1,26;5,0;;;;;;;;;;;;;;;0,0;
$D;1,36;;100,0;;;;;;;;;;;;;;0,0;
$D;1,47;;;12,4;;;;;;;;;;;;;0,0;
$D;1,58;;;;98,0;;;;;;;;;;;;0,0;
$D;1,70;;;;;0,1;;;;;;;;;;;0,0;
$D;1,78;;;;;;0,0;;;;;;;;;;0,0;
$D;1,89;;;;;;;0,0;;;;;;;;;0,0;
$D;1,95;;;;;;;;0,0;;;;;;;;0,0;
$D;2,06;;;;;;;;;2,0;;;;;;;0,0;
$D;2,20;;;;;;;;;;0,0;;;;;;0,0;
$D;2,28;;;;;;;;;;;0,6;;;;;0,0;
$D;2,41;;;;;;;;;;;;1,0;;;;0,0;
$D;2,48;5,0;;;;;;;;;;;;;;;0,0;
$D;2,62;;100,0;;;;;;;;;;;;;;0,0;
$D;2,69;;;12,4;;;;;;;;;;;;;0,0;
$D;2,84;;;;98,0;;;;;;;;;;;;0,1;
$D;2,97;;;;;0,1;;;;;;;;;;;0,1;
$D;3,04;;;;;;0,0;;;;;;;;;;0,1;
$D;3,11;;;;;;;0,0;;;;;;;;;0,1;
$D;3,33;;;;;;;;0,0;;;;;;;;0,1;
$D;3,52;;;;;;;;;2,0;;;;;;;0,1;
$D;3,65;;;;;;;;;;0,0;;;;;;0,1;
$D;3,66;;;;;;;;;;;0,6;;;;;0,1;
$D;3,73;;;;;;;;;;;;1,0;;;;0,1;
$D;3,80;5,0;;;;;;;;;;;;;;;0,1;
$D;3,87;;100,0;;;;;;;;;;;;;;0,1;
$D;4,01;;;12,4;;;;;;;;;;;;;0,0;
$D;4,08;;;;98,0;;;;;;;;;;;;0,0;
$D;4,22;;;;;0,1;;;;;;;;;;;0,0;
