$SETUP1;Time; A:00;; A:02; A:03; A:04; A:05;;;; A:09; A:10; A:11; A:12; A:13; A:14; A:15;
$SETUP2;sec ; km/h;;    m;    V;    V;  mAh;;;;    m;    A;  m/s;    m;   °C;    m;% LQI;
$D;0001,00;0,1;;7300;11,5;3,9;748;;;;0;0,1;0,0;5;-0;0;100;*3D
$D;0002,00;0,7;;7300;11,5;3,9;748;;;;0;0,1;0,0;5;-0;0;100;*49
$D;0003,00;0,4;;7300;11,5;3,9;748;;;;-1;0,1;0,0;5;-0;0;100;*C1
$D;0004,00;0,6;;7300;11,5;3,9;749;;;;-1;0,1;0,0;5;-0;0;100;*B5
$D;0005,00;0,1;;7300;11,5;3,9;749;;;;-1;0,2;0,0;5;-0;0;100;*0D
$D;0006,00;0,4;;7300;11,5;3,9;749;;;;-1;0,1;0,2;5;-0;0;100;*C6
$D;0007,00;0,8;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*94
$D;0008,00;1,1;;7300;11,5;3,9;749;;;;0;0,2;0,2;5;-0;0;100;*24
$D;0009,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*66
$D;0010,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*D8
$D;0011,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*76
$D;0012,00;0,4;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*74
$D;0013,00;1,3;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*A9
$D;0014,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*9E
$D;0015,00;0,6;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*21
$D;0016,00;0,4;;7300;11,5;3,9;749;;;;0;0,2;0,1;5;-0;0;100;*87
$D;0017,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*FD
$D;0018,00;0,0;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*22
$D;0019,00;0,1;;7300;11,5;3,9;749;;;;0;0,2;0,0;5;-0;0;100;*91
$D;0020,00;0,8;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*CE
$D;0021,00;0,2;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*0F
$D;0022,00;0,1;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*09
$D;0023,00;1,1;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*B3
$D;0024,00;0,8;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*7A
$D;0025,00;0,3;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*31
$D;0026,00;0,4;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*B0
$D;0027,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*81
$D;0028,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*08
$D;0029,00;1,0;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*AD
$D;0030,00;0,1;;7300;11,5;3,9;750;;;;-1;0,2;0,0;5;-0;0;100;*E6
$D;0031,00;0,4;;7300;11,5;3,9;750;;;;-1;0,2;0,1;5;-0;0;100;*6D
$D;0032,00;0,2;;7300;11,5;3,9;750;;;;0;0,2;0,0;5;-0;0;100;*20
