;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;7;8;8;8;8;8;8;16;17;18;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
0;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  7,9;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;  271;  0;    0;   0,0;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
1042;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  7,9;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0; 6383;  -0,2;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
2085;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;16383;  0;    0;  +0,2;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
3127;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0;   1;    0;  0;    0;  +0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
4222;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0;    0;  +0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
5268;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0;    0;  -0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
6299;21,4;-11,9;-134,8;14,1;6,8;-139,9;152,2;103,4;0,0;0,0;99,9;-100,0;0,0;-100,0;-100,0;0,0;  5,8;  0,0;3;   0,0;  5,7;    24;    0;   0,0; 334;    0;  0;    0;  +0,1;N 46:46.3618;E 13:49.8954;  -1;   0;   0;
