Zeit [s];RSSI [dB];Spannung [V];Strom [A];Leistung [W];Kapazitaet [Ah];Energie [Wh];Temp. Tmp. [*C]
#Version 2.04beta-19
#0.0:Modellname:PROTOS__ Akku:6S 2.65Ah TXE Version 3.5 Anzahl Fluege:35 Betriebsstunden:13:16:08 US-T V1.00
0.0;-21;25.1;0.1;3;0.00;0.01;13
0.2;-23;25.1;0.1;3;0.00;0.01;13
0.4;-20;25.1;0.1;3;0.00;0.01;13
0.8;-17;25.1;0.3;8;0.00;0.01;13
1.0;-16;25.1;0.3;8;0.00;0.02;13
1.2;-14;25.1;0.3;8;0.00;0.02;13
1.4;-14;25.1;0.3;8;0.00;0.02;13
1.6;-14;25.1;0.1;3;0.00;0.02;13
1.8;-14;25.1;0.1;3;0.00;0.02;13
2.0;-13;25.1;0.1;3;0.00;0.02;13
2.2;-14;25.1;0.1;3;0.00;0.02;13
2.4;-12;25.1;0.1;3;0.00;0.02;13
2.6;-13;25.1;0.1;3;0.00;0.02;13
2.8;-13;25.1;0.3;8;0.00;0.02;13
3.0;-14;25.1;0.3;8;0.00;0.02;13
3.2;-13;25.1;0.1;3;0.00;0.02;13
3.4;-14;25.1;0.1;3;0.00;0.02;13
3.6;-14;25.1;0.1;3;0.00;0.02;13
4.0;-14;25.1;0.1;3;0.00;0.02;13
4.2;-14;25.1;0.1;3;0.00;0.02;13
4.4;-12;25.1;0.2;5;0.00;0.02;13
4.6;-12;25.1;0.2;5;0.00;0.02;13
4.8;-12;25.1;0.1;3;0.00;0.02;13
5.0;-13;25.1;0.1;3;0.00;0.02;13
5.2;-12;25.1;0.1;3;0.00;0.02;13
5.6;-12;25.1;0.1;3;0.00;0.02;13
5.8;-12;25.1;0.1;3;0.00;0.02;13
6.0;-5;25.1;0.1;3;0.00;0.02;13
6.2;-3;25.1;0.1;3;0.00;0.02;13
6.4;-6;25.1;0.1;3;0.00;0.02;13
6.6;-8;25.1;0.1;3;0.00;0.02;13
6.8;-13;25.1;0.1;3;0.00;0.02;13
7.0;-13;25.1;0.1;3;0.00;0.02;13
7.2;-14;25.1;0.3;8;0.00;0.02;14
7.4;-14;25.1;0.3;8;0.00;0.03;14
7.6;-13;25.1;0.3;8;0.00;0.03;14
7.8;-13;25.1;0.3;8;0.00;0.03;14
8.0;-13;25.1;0.3;8;0.00;0.03;14
8.2;-13;25.1;0.3;8;0.00;0.03;14
8.4;-12;25.1;0.2;5;0.00;0.03;14
8.7;-12;25.1;0.1;3;0.00;0.03;14
8.9;-11;25.1;0.1;3;0.00;0.03;14
9.1;-8;25.1;0.1;3;0.00;0.03;14
9.3;-8;25.1;0.1;3;0.00;0.03;14
9.5;-8;25.1;0.1;3;0.00;0.03;14
9.7;-9;25.1;0.1;3;0.00;0.03;14
9.9;-9;25.1;0.1;3;0.00;0.03;14
10.1;-21;25.1;0.3;8;0.00;0.03;14
10.3;-11;25.1;0.1;3;0.00;0.03;14
10.5;-9;25.1;0.1;3;0.00;0.03;14
10.8;-10;25.1;0.2;5;0.00;0.03;14
11.0;-9;25.1;0.2;5;0.00;0.03;14
11.2;-11;25.1;0.3;8;0.00;0.03;14
11.4;-17;25.1;0.3;8;0.00;0.03;14
11.6;-18;25.1;0.2;5;0.00;0.03;14
11.8;-17;25.1;0.2;5;0.00;0.03;14
12.0;-16;25.1;0.3;8;0.00;0.03;14
12.2;-17;25.1;0.3;8;0.00;0.03;14
12.4;-21;25.1;0.3;8;0.00;0.03;14
12.6;-23;25.1;0.3;8;0.00;0.04;14
12.8;-12;25.1;0.3;8;0.00;0.04;14
13.0;-11;25.1;0.3;8;0.00;0.04;14
13.2;-8;25.1;0.3;8;0.00;0.04;14
13.4;-8;25.1;0.3;8;0.00;0.04;14
13.6;-16;25.1;0.3;8;0.00;0.04;14
13.8;-20;25.1;0.3;8;0.00;0.04;14
14.0;-29;25.1;0.1;3;0.00;0.04;14
14.2;-30;25.1;0.1;3;0.00;0.04;14
14.4;-29;25.1;0.3;8;0.00;0.04;14
14.6;-28;25.1;0.3;8;0.00;0.04;14
14.8;-26;25.1;0.1;3;0.00;0.04;14
15.0;-26;25.1;0.1;3;0.00;0.04;14
15.2;-18;25.1;0.1;3;0.00;0.04;14
15.4;-18;25.1;0.1;3;0.00;0.04;14
15.6;-17;25.1;0.1;3;0.00;0.04;14
15.8;-16;25.1;0.1;3;0.00;0.04;14
16.0;-18;25.1;0.3;8;0.00;0.04;14
16.2;-26;25.1;0.3;8;0.00;0.04;14
