Zeit [s];RSSI [dB];Spannung [V];Strom [A];Kapazitaet [Ah];Energie [Wh]
#0.0:Modellname:LOGO_550 Akku:6S 5.00Ah TXE Version 3.1 Anzahl Fluege:3 Betriebsstunden:1:05:57 
0.1;-1;25.1;0.1;0.00;0.01
1.1;0;25.1;0.1;0.00;0.01
2.1;-1;25.1;0.1;0.00;0.02
3.1;-1;25.1;0.1;0.00;0.02
4.1;-1;25.1;0.1;0.00;0.02
5.1;-1;25.1;0.1;0.00;0.02
6.1;-1;25.1;0.1;0.00;0.02
7.1;-1;25.1;0.1;0.00;0.02
8.1;-1;25.1;0.1;0.00;0.02
9.1;0;25.1;0.1;0.00;0.02
10.1;-1;25.1;0.0;0.00;0.02
11.1;0;25.1;0.1;0.00;0.02
12.1;-1;25.1;0.1;0.00;0.02
13.1;-1;25.1;0.1;0.00;0.03
14.1;-1;25.1;0.1;0.00;0.03
15.1;-1;25.1;0.1;0.00;0.03
16.1;-1;25.1;0.1;0.00;0.03
17.1;0;25.1;0.0;0.00;0.03
18.1;-1;25.1;0.1;0.00;0.03
19.1;0;25.1;0.1;0.00;0.03
20.1;-1;25.1;0.1;0.00;0.03
21.1;0;25.1;0.1;0.00;0.03
22.1;-1;25.1;0.0;0.00;0.03
23.1;-1;25.1;0.1;0.00;0.03
24.1;-1;25.1;0.1;0.00;0.03
25.1;0;25.1;0.1;0.00;0.04
26.1;-1;25.1;0.0;0.00;0.04
27.1;0;25.1;0.1;0.00;0.04
28.1;-1;25.1;0.0;0.00;0.04
29.1;-1;25.1;0.0;0.00;0.04
30.1;-1;25.1;0.1;0.00;0.04
31.1;-1;25.1;0.0;0.00;0.04
32.1;-1;25.1;0.1;0.00;0.04
33.1;0;25.1;0.1;0.00;0.04
34.1;-1;25.1;0.0;0.00;0.04
35.1;-1;25.1;0.0;0.00;0.04
36.1;-1;25.1;0.0;0.00;0.04
37.1;-1;25.1;0.1;0.00;0.04
38.1;-1;25.1;0.0;0.00;0.05
39.1;-1;25.1;0.1;0.00;0.05
40.1;-1;25.1;0.0;0.00;0.05
41.1;-1;25.1;0.0;0.00;0.05
42.1;-1;25.1;0.0;0.00;0.05
43.1;-1;25.1;0.0;0.00;0.05
44.1;0;25.1;0.0;0.00;0.05
45.1;-1;25.1;0.1;0.00;0.05
46.1;0;25.1;0.1;0.00;0.05
47.1;-1;25.1;0.0;0.00;0.05
48.1;-1;25.1;0.0;0.00;0.05
49.1;-1;25.1;0.1;0.00;0.05
50.1;-1;25.1;0.0;0.00;0.05
51.1;-1;25.1;0.1;0.00;0.05
52.1;-1;25.1;0.1;0.00;0.05
53.1;-1;25.1;0.1;0.00;0.05
54.1;-1;25.1;0.0;0.00;0.05
55.1;-1;25.1;0.1;0.00;0.06
56.1;0;25.1;0.1;0.00;0.06
62.9;0;25.1;0.1;0.00;0.06
63.9;0;25.1;0.1;0.00;0.06
64.9;-1;25.1;0.0;0.00;0.06
65.9;-1;25.1;0.1;0.00;0.06
78.0;0;25.1;0.0;0.00;0.07
79.0;-1;25.1;0.1;0.00;0.07
80.0;-1;25.1;0.0;0.00;0.07
81.0;-1;25.1;0.0;0.00;0.07
82.0;-1;25.1;0.0;0.00;0.07
83.0;-2;25.1;0.0;0.00;0.07
84.0;-5;25.1;0.0;0.00;0.07
85.0;-9;25.1;0.1;0.00;0.07
86.0;-4;25.1;0.1;0.00;0.08
87.0;-4;25.1;0.0;0.00;0.08
88.0;-5;25.1;0.1;0.00;0.08
89.0;-5;25.1;0.1;0.00;0.08
90.0;-6;25.1;0.0;0.00;0.08
91.0;-2;25.1;0.0;0.00;0.08
92.0;-2;25.1;0.0;0.00;0.08
93.0;-2;25.1;0.1;0.00;0.08
94.0;-5;25.1;0.0;0.00;0.08
95.0;-8;25.1;0.0;0.00;0.08
96.0;-6;25.1;0.1;0.00;0.08
97.0;-6;25.1;0.0;0.00;0.08
98.0;-6;25.1;0.0;0.00;0.08
99.0;-7;25.1;0.1;0.00;0.08
100.0;-5;25.1;0.1;0.00;0.08
101.0;-11;25.1;0.1;0.00;0.09
102.0;-11;25.1;0.1;0.00;0.09
103.0;-12;25.1;0.1;0.00;0.09
104.0;-12;25.1;0.1;0.00;0.09
105.0;-12;25.1;0.1;0.00;0.09
106.0;-9;25.1;0.1;0.00;0.09
107.0;-7;25.1;0.1;0.00;0.09
108.0;-5;25.1;0.1;0.00;0.09
109.0;-5;25.1;0.1;0.00;0.10
110.0;-5;25.1;0.1;0.00;0.10
111.0;-5;25.1;0.1;0.00;0.10
112.0;-4;25.1;0.1;0.00;0.10
113.0;-9;25.1;0.1;0.00;0.10
114.0;-10;25.1;0.1;0.00;0.10
115.0;-7;25.1;0.0;0.00;0.10
116.0;-7;25.1;0.1;0.00;0.10
117.0;0;25.1;0.1;0.00;0.10
118.0;-1;25.1;0.1;0.00;0.10
119.0;-1;25.1;0.1;0.00;0.10
120.0;-2;25.1;0.1;0.00;0.10
121.0;-2;25.1;0.1;0.00;0.11
122.0;-9;25.1;0.1;0.00;0.11
123.0;-5;25.1;0.1;0.00;0.11
124.0;-2;25.1;0.1;0.00;0.11
125.0;-3;25.1;0.1;0.00;0.11
