# Ariane V10 1
000000000;4264123810;0;Rx;
000000000;4264123810;1;U Rx;V
000000000;4202000001;0;LinkVario;
000000000;4202000001;1;Hoehe;m
000000000;4202000001;2;Vario;m/s
000000000;4202000001;3;IntegVario;m/s
000000000;4202000001;4;Motorspann;V
000000000;4202000001;5;Motorstrom;A
000000000;4202000001;6;Kapazitaet;Ah
000000000;4202000001;7;Temperatur;°C
000000000;4202000001;8;PitotSpeed;m/s
000000000;4202000001;9;UB Vario;V
000000000;4202000001;10;Longitude;°
000000000;4202000001;11;Latitude;°
000000000;4202000001;12;GPS-Hoehe;m
000000000;4202000001;13;GPS-Kurs;°
000000000;4202000001;14;GPS-Speed;m/s
000000000;4202000001;15;Entfernung;m
000000000;4202000001;16;Modell-Pos;°
001053080;4202000001;1;1;1;28
001053080;4202000001;2;1;2;8
001053080;4202000001;3;1;2;1
001053080;4202000001;4;1;1;164
001053080;4202000001;5;1;1;0
001053080;4202000001;6;1;2;0
001053080;4202000001;7;1;1;157
001053080;4202000001;8;1;0;0
001053080;4202000001;9;1;2;499
001053080;4202000001;10;9;1;616483
001053081;4202000001;11;9;0;3123083
001053081;4202000001;12;1;0;436
001053084;4202000001;13;1;0;32
001053084;4202000001;14;1;0;0
001053084;4202000001;15;1;0;18
001053084;4202000001;16;1;0;335
001053165;4202000001;2;1;2;9
001053165;4202000001;6;1;2;0
001053165;4202000001;7;1;1;156
001053165;4202000001;8;1;0;0
001053165;4202000001;9;1;2;499
001053256;4264123810;1;1;2;492
001053416;4202000001;2;1;2;10
001053416;4202000001;10;9;1;616483
001053416;4202000001;11;9;0;3123083
001053416;4202000001;14;1;0;0
001053656;4202000001;2;1;2;43
001053656;4202000001;12;1;0;436
001053660;4202000001;13;1;0;35
001053660;4202000001;15;1;0;18
001053660;4202000001;16;1;0;336
001053776;4264123810;1;1;2;492
001053776;4202000001;1;1;1;29
001053776;4202000001;2;1;2;75
001053776;4202000001;3;1;2;1
001053776;4202000001;4;1;1;136
001053776;4202000001;5;1;1;723
001053916;4202000001;2;1;2;97
001053916;4202000001;6;1;2;2
001053916;4202000001;7;1;1;160
001053916;4202000001;8;1;0;0
001053916;4202000001;9;1;2;503
001054059;4202000001;2;1;2;108
001054059;4202000001;10;9;1;616483
001054059;4202000001;11;9;0;3123083
001054063;4202000001;14;1;0;0
001054156;4202000001;2;1;2;118
001054156;4202000001;12;1;0;436
001054156;4202000001;13;1;0;35
001054156;4202000001;15;1;0;18
001054156;4202000001;16;1;0;336
001054296;4264123810;1;1;2;492
001054296;4202000001;1;1;1;60
001054296;4202000001;2;1;2;131
001054296;4202000001;3;1;2;12
001054296;4202000001;4;1;1;135
001054296;4202000001;5;1;1;779
001054436;4202000001;2;1;2;147
001054436;4202000001;6;1;2;2
001054436;4202000001;7;1;1;158
001054436;4202000001;8;1;0;0
001054440;4202000001;9;1;2;503
001054636;4202000001;2;1;2;175
001054636;4202000001;10;9;1;616486
001054636;4202000001;11;9;0;3123084
001054636;4202000001;14;1;0;6
001054816;4264123810;1;1;2;492
001054916;4202000001;1;1;1;89
001054916;4202000001;2;1;2;229
001054916;4202000001;3;1;2;338
001054916;4202000001;4;1;1;135
001054916;4202000001;5;1;1;654
001055036;4202000001;2;1;2;257
001055036;4202000001;6;1;2;4
001055036;4202000001;7;1;1;166
001055036;4202000001;8;1;0;0
001055036;4202000001;9;1;2;502
001055156;4202000001;2;1;2;290
001055160;4202000001;10;9;1;616486
001055160;4202000001;11;9;0;3123084
001055160;4202000001;14;1;0;6
001055296;4202000001;2;1;2;328
001055296;4202000001;12;1;0;437
001055296;4202000001;13;1;0;51
001055296;4202000001;15;1;0;19
001055296;4202000001;16;1;0;346
001055336;4264123810;1;1;2;492
001055416;4202000001;1;1;1;89
001055416;4202000001;2;1;2;375
001055416;4202000001;3;1;2;338
001055416;4202000001;4;1;1;134
001055416;4202000001;5;1;1;800
001055656;4202000001;2;1;2;465
001055656;4202000001;6;1;2;4
001055666;4202000001;7;1;1;159
001055666;4202000001;8;1;0;0
001055666;4202000001;9;1;2;502
001055856;4264123810;1;1;2;492
001055916;4202000001;2;1;2;580
001055916;4202000001;10;9;1;616494
001055916;4202000001;11;9;0;3123088
001055916;4202000001;14;1;0;16
001056036;4202000001;2;1;2;641
001056036;4202000001;12;1;0;443
001056036;4202000001;13;1;0;55
001056036;4202000001;15;1;0;26
001056036;4202000001;16;1;0;12
001056176;4202000001;1;1;1;143
001056176;4202000001;2;1;2;701
001056176;4202000001;3;1;2;410
001056178;4202000001;4;1;1;133
001056178;4202000001;5;1;1;567
001056376;4264123810;1;1;2;492
001056458;4202000001;2;1;2;826
001056458;4202000001;10;9;1;616494
001056458;4202000001;11;9;0;3123088
001056458;4202000001;14;1;0;16
001056616;4202000001;2;1;2;899
001056616;4202000001;12;1;0;461
001056616;4202000001;13;1;0;50
001056616;4202000001;15;1;0;41
001056616;4202000001;16;1;0;29
001056756;4202000001;1;1;1;266
001056756;4202000001;2;1;2;943
001056756;4202000001;3;1;2;410
001056756;4202000001;4;1;1;132
001056758;4202000001;5;1;1;654
001056896;4264123810;1;1;2;492
001056896;4202000001;2;1;2;983
001056896;4202000001;6;1;2;7
001056896;4202000001;7;1;1;155
001056896;4202000001;8;1;0;5
001056896;4202000001;9;1;2;502
001057036;4202000001;2;1;2;1007
001057036;4202000001;10;9;1;616506
001057036;4202000001;11;9;0;3123093
001057036;4202000001;14;1;0;21
001057156;4202000001;2;1;2;1025
001057156;4202000001;12;1;0;461
001057156;4202000001;13;1;0;50
001057156;4202000001;15;1;0;41
001057156;4202000001;16;1;0;29
001057299;4202000001;1;1;1;409
001057301;4202000001;2;1;2;1037
001057301;4202000001;3;1;2;1002
001057301;4202000001;4;1;1;132
001057301;4202000001;5;1;1;649
001057416;4264123810;1;1;2;492
001057656;4202000001;2;1;2;1056
001057656;4202000001;10;9;1;616517
001057656;4202000001;11;9;0;3123100
001057656;4202000001;14;1;0;19
001057776;4202000001;2;1;2;1060
001057776;4202000001;12;1;0;484
001057776;4202000001;13;1;0;45
001057776;4202000001;15;1;0;60
001057776;4202000001;16;1;0;35
001057916;4202000001;1;1;1;553
001057916;4202000001;2;1;2;1063
001057919;4202000001;3;1;2;1093
001057919;4202000001;4;1;1;131
001057919;4202000001;5;1;1;666
001057936;4264123810;1;1;2;492
001058056;4202000001;2;1;2;1064
001058056;4202000001;6;1;2;9
001058056;4202000001;7;1;1;157
001058056;4202000001;8;1;0;7
001058056;4202000001;9;1;2;500
001058316;4202000001;2;1;2;1067
001058316;4202000001;10;9;1;616517
001058316;4202000001;11;9;0;3123100
001058316;4202000001;14;1;0;19
001058456;4264123810;1;1;2;492
001058456;4202000001;2;1;2;1068
001058456;4202000001;12;1;0;484
001058458;4202000001;13;1;0;45
001058458;4202000001;15;1;0;60
001058459;4202000001;16;1;0;35
001058636;4202000001;1;1;1;774
001058636;4202000001;2;1;2;1068
001058636;4202000001;3;1;2;1093
001058636;4202000001;4;1;1;130
001058636;4202000001;5;1;1;668
001058776;4202000001;2;1;2;1069
001058776;4202000001;6;1;2;9
001058776;4202000001;7;1;1;157
001058776;4202000001;8;1;0;7
001058776;4202000001;9;1;2;500
001058916;4202000001;2;1;2;1069
001058916;4202000001;10;9;1;616527
001058916;4202000001;11;9;0;3123107
001058918;4202000001;14;1;0;15
001058976;4264123810;1;1;2;492
001059056;4202000001;2;1;2;1069
001059056;4202000001;12;1;0;512
001059056;4202000001;13;1;0;40
001059056;4202000001;15;1;0;77
001059056;4202000001;16;1;0;37
001059176;4202000001;1;1;1;981
001059176;4202000001;2;1;2;1070
001059176;4202000001;3;1;2;1643
001059176;4202000001;4;1;1;130
001059176;4202000001;5;1;1;604
001059316;4202000001;2;1;2;1070
001059316;4202000001;6;1;2;11
001059316;4202000001;7;1;1;156
001059316;4202000001;8;1;0;7
001059316;4202000001;9;1;2;500
001059454;4202000001;2;1;2;1070
001059454;4202000001;10;9;1;616527
001059454;4202000001;11;9;0;3123107
001059454;4202000001;14;1;0;15
001059496;4264123810;1;1;2;492
001059656;4202000001;2;1;2;1070
001059656;4202000001;12;1;0;542
001059656;4202000001;13;1;0;40
001059656;4202000001;15;1;0;94
001059656;4202000001;16;1;0;37
001059816;4202000001;1;1;1;1150
001059816;4202000001;2;1;2;1070
001059816;4202000001;3;1;2;1643
001059816;4202000001;4;1;1;129
001059816;4202000001;5;1;1;650
001059935;4202000001;2;1;2;1070
001059937;4202000001;6;1;2;13
001059938;4202000001;7;1;1;158
001059938;4202000001;8;1;0;7
001059938;4202000001;9;1;2;500
001060016;4264123810;1;1;2;492
001060058;4202000001;2;1;2;1070
001060058;4202000001;10;9;1;616536
001060058;4202000001;11;9;0;3123114
001060058;4202000001;14;1;0;17
001060196;4202000001;2;1;2;1070
001060196;4202000001;12;1;0;542
001060196;4202000001;13;1;0;40
001060196;4202000001;15;1;0;94
001060196;4202000001;16;1;0;37
001060336;4202000001;1;1;1;1368
001060336;4202000001;2;1;2;1071
001060338;4202000001;3;1;2;1650
001060338;4202000001;4;1;1;129
001060338;4202000001;5;1;1;584
001060456;4202000001;2;1;2;1071
001060456;4202000001;6;1;2;13
001060456;4202000001;7;1;1;159
001060456;4202000001;8;1;0;7
001060456;4202000001;9;1;2;500
001060536;4264123810;1;1;2;492
001060776;4202000001;2;1;2;1071
001060776;4202000001;10;9;1;616545
001060776;4202000001;11;9;0;3123121
001060776;4202000001;14;1;0;15
001060936;4202000001;2;1;2;1071
001060936;4202000001;12;1;0;572
001060936;4202000001;13;1;0;40
001060938;4202000001;15;1;0;111
001060938;4202000001;16;1;0;38
001061056;4264123810;1;1;2;492
001061056;4202000001;1;1;1;1571
001061056;4202000001;2;1;2;1071
001061056;4202000001;3;1;2;1978
001061056;4202000001;4;1;1;128
001061056;4202000001;5;1;1;552
001061176;4202000001;2;1;2;1071
001061176;4202000001;6;1;2;14
001061176;4202000001;7;1;1;154
001061176;4202000001;8;1;0;7
001061176;4202000001;9;1;2;501
001061316;4202000001;2;1;2;1071
001061316;4202000001;10;9;1;616545
001061316;4202000001;11;9;0;3123121
001061318;4202000001;14;1;0;15
001061436;4202000001;2;1;2;1071
001061436;4202000001;12;1;0;572
001061436;4202000001;13;1;0;40
001061436;4202000001;15;1;0;111
001061436;4202000001;16;1;0;38
001061576;4264123810;1;1;2;492
001061676;4202000001;1;1;1;1756
001061676;4202000001;2;1;2;1071
001061676;4202000001;3;1;2;1978
001061676;4202000001;4;1;1;128
001061676;4202000001;5;1;1;608
001061796;4202000001;2;1;2;1071
001061796;4202000001;6;1;2;14
001061796;4202000001;7;1;1;159
001061796;4202000001;8;1;0;7
001061798;4202000001;9;1;2;501
001061936;4202000001;2;1;2;1071
001061936;4202000001;10;9;1;616552
001061936;4202000001;11;9;0;3123127
001061936;4202000001;14;1;0;12
001062132;4202000001;2;1;2;1071
