# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000189277;4310520667;1;1;1;419
000189277;4310520667;2;1;1;0
000189277;4310520667;3;4;0;0
000189277;4310520667;4;5;0;0
000189319;4310520667;1;1;1;419
000189319;4310520667;2;1;1;0
000189319;4310520667;3;4;0;0
000189319;4310520667;4;5;0;0
000189536;4310520667;1;1;1;416
000189536;4310520667;2;1;1;21
000189536;4310520667;3;4;0;0
000189536;4310520667;4;5;0;0
000189737;4310520667;1;1;1;417
000189737;4310520667;2;1;1;16
000189737;4310520667;3;4;0;0
000189737;4310520667;4;5;0;0
000189973;4310520667;1;1;1;417
000189973;4310520667;2;1;1;16
000189973;4310520667;3;4;0;0
000189973;4310520667;4;5;0;1
000190176;4310520667;1;1;1;417
000190176;4310520667;2;1;1;16
000190176;4310520667;3;4;0;0
000190176;4310520667;4;5;0;1
000190376;4310520667;1;1;1;417
000190376;4310520667;2;1;1;16
000190376;4310520667;3;4;0;0
000190376;4310520667;4;5;0;1
000190716;4310520667;1;1;1;398
000190773;4310520667;2;1;1;182
000190773;4310520667;3;4;0;1
000190773;4310520667;4;5;0;1
000190938;4310520667;1;1;1;405
000190938;4310520667;2;1;1;95
000190938;4310520667;3;4;0;2
000190938;4310520667;4;5;0;2
000191136;4310520667;1;1;1;406
000191136;4310520667;2;1;1;89
000191136;4310520667;3;4;0;2
000191136;4310520667;4;5;0;2
000191336;4310520667;1;1;1;407
000191336;4310520667;2;1;1;91
000191336;4310520667;3;4;0;3
000191336;4310520667;4;5;0;2
000191556;4310520667;1;1;1;402
000191556;4310520667;2;1;1;131
000191613;4310520667;3;4;0;4
000191613;4310520667;4;5;0;2
000191783;4310520667;1;1;1;403
000191783;4310520667;2;1;1;118
000191783;4310520667;3;4;0;4
000191783;4310520667;4;5;0;2
000191976;4310520667;1;1;1;398
000191976;4310520667;2;1;1;168
000191976;4310520667;3;4;0;5
000191976;4310520667;4;5;0;3
000192196;4310520667;1;1;1;394
000192196;4310520667;2;1;1;216
000192196;4310520667;3;4;0;7
000192196;4310520667;4;5;0;3
000192396;4310520667;1;1;1;393
