Date,Time,GSpd(kmh),RSSI(dB),RxBt(V),GPS,GAlt(m),Date,Dist(m),Rud,Ele,Thr,Ail,S1,S2,S3,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-08-18,12:51:13.860,-0.7,94,5.5,42.736613 11.995706,-4.8,2019-08-18 10:51:13,4,-2,1,-1024,-2,-14,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:51:15.850,-0.6,99,5.5,42.736613 11.995706,-4.8,2019-08-18 10:51:13,4,-2,1,-1024,-2,-14,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:51:17.850,-0.7,94,5.5,42.736613 11.995706,-4.8,2019-08-18 10:51:13,4,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:51:19.850,-0.7,93,5.5,42.736611 11.995706,-4.7,2019-08-18 10:51:13,4,-2,1,-1024,-2,-13,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:51:21.860,-0.6,94,5.5,42.736610 11.995706,-4.7,2019-08-18 10:51:13,4,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:00.120,0.0,0,0.0,,0.0,   0-00-00 00:00:00,5,-2,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:02.120,-0.1,91,5.5,42.736548 11.995708,2.4,2019-08-18 10:52:02,2,-2,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:04.120,-0.1,95,5.5,42.736546 11.995708,2.4,2019-08-18 10:52:02,2,-2,1,-1024,-2,-13,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:06.120,-0.1,92,5.5,42.736545 11.995706,2.5,2019-08-18 10:52:02,2,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:08.120,0.0,90,5.5,42.736546 11.995706,2.5,2019-08-18 10:52:02,2,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:10.120,0.0,94,5.5,42.736546 11.995706,2.4,2019-08-18 10:52:02,2,-2,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:12.120,-0.1,98,5.5,42.736546 11.995706,2.4,2019-08-18 10:52:02,2,-2,1,-1024,-2,-14,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:14.120,0.4,86,5.5,42.736548 11.995706,2.5,2019-08-18 10:52:13,2,-2,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:16.120,-0.1,87,5.5,42.736546 11.995706,2.3,2019-08-18 10:52:13,2,-2,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:18.120,0.0,95,5.5,42.736546 11.995706,2.3,2019-08-18 10:52:13,2,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:20.120,-0.1,93,5.5,42.736546 11.995706,2.4,2019-08-18 10:52:13,2,-2,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:22.120,-0.1,90,5.5,42.736546 11.995706,2.4,2019-08-18 10:52:13,2,-421,1,-1024,-2,-14,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:24.120,-0.1,93,5.5,42.736546 11.995706,2.4,2019-08-18 10:52:23,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:26.120,-0.1,88,5.5,42.736546 11.995708,2.3,2019-08-18 10:52:23,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:28.120,-0.1,90,5.5,42.736548 11.995708,2.4,2019-08-18 10:52:23,2,-1,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:30.120,-0.1,98,5.5,42.736546 11.995710,2.6,2019-08-18 10:52:23,2,0,1,-1024,-2,-13,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:32.120,0.0,101,5.5,42.736548 11.995710,2.6,2019-08-18 10:52:23,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:34.120,0.0,100,5.5,42.736548 11.995710,2.6,2019-08-18 10:52:33,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:36.120,-0.1,84,5.5,42.736548 11.995710,2.7,2019-08-18 10:52:33,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:38.120,0.0,94,5.5,42.736548 11.995711,2.7,2019-08-18 10:52:33,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:40.120,0.5,99,5.5,42.736550 11.995711,2.6,2019-08-18 10:52:33,2,0,1,-1024,-2,-14,-20,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:42.120,0.0,86,5.5,42.736553 11.995711,2.5,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:44.120,0.0,94,5.5,42.736553 11.995711,2.7,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:46.120,-0.1,101,5.5,42.736555 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:48.120,0.2,84,5.5,42.736553 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:50.120,-0.1,98,5.5,42.736553 11.995711,2.4,2019-08-18 10:52:42,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:52.120,-0.1,96,5.5,42.736556 11.995711,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:54.120,0.1,101,5.5,42.736560 11.995713,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:56.120,0.1,102,5.5,42.736563 11.995713,2.3,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:52:58.120,0.1,86,5.5,42.736561 11.995713,2.2,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
2019-08-18,12:53:00.120,-0.1,99,5.5,42.736565 11.995711,2.1,2019-08-18 10:52:53,2,0,1,-1024,-2,3,-20,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000001,8.2
