Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-05-13,14:01:47.560,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:47.630,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:47.730,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:47.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:47.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.230,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.530,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.730,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.830,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:48.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.530,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.730,-3,4,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:49.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.530,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.730,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.830,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:50.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.530,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.730,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:51.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.530,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.730,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:52.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.530,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.630,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.730,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:53.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.230,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.330,80,-314,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.430,57,-722,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.530,-1,-881,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.630,-2,-894,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.730,-3,-121,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.830,-3,16,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:54.930,-3,13,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.030,-3,32,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.130,-3,271,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.230,-3,651,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.330,-3,108,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.430,-3,-405,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.530,-3,16,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.630,-3,-2,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.730,-3,0,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.830,-3,2,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:55.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.030,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.230,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.530,-3,4,-1024,7,-417,-1024,-3,-265,1024,1,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.630,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.730,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.830,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:56.930,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.030,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.130,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.230,-3,4,-1024,7,-417,-1024,-3,-265,1024,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.330,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.430,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
2018-05-13,14:01:57.530,-3,3,-1024,7,-417,-1024,-3,-265,1024,0,0,1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,10.3
