Timestamp;BEC Current (A);BEC Voltage (V);BEC Power (W);BEC Temp (C);Current (A);Voltage (V);Power (W);FET Temp (C);Throttle (%);Output (%);RPM
92;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;6300.00
125;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;6300.00
158;0.00;5.50;0.00;;0.20;12.42;2.48;0.00;;95.00;0.00
191;0.00;5.50;0.00;;0.27;12.42;3.35;0.00;;95.00;0.00
224;0.00;5.50;0.00;;0.38;12.42;4.72;0.00;;95.00;12390.00
257;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
290;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
323;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;12390.00
356;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;0.00
389;0.00;5.50;0.00;;0.17;12.42;2.11;0.00;;95.00;0.00
422;0.00;5.50;0.00;;0.20;12.42;2.48;0.00;;95.00;0.00
455;0.00;5.50;0.00;;0.53;12.40;6.57;0.00;;95.00;15400.00
488;0.00;5.50;0.00;;0.18;12.40;2.23;0.00;;95.00;16000.00
521;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;16000.00
554;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;16000.00
587;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
620;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
653;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
686;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
719;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
752;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
785;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
818;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
851;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
884;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
917;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
950;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
983;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1016;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1049;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1082;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1115;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1148;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1181;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1214;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1247;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1280;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1313;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1346;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1379;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1412;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1445;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1478;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1511;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1544;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1577;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1610;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;95.00;0.00
1643;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1676;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1709;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1742;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1775;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1808;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1841;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1874;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1907;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1940;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
1973;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2006;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2039;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2072;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2105;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
2138;0.00;5.50;0.00;;0.18;12.42;2.24;0.00;;94.00;0.00
