Time,Battery voltage,Battery current,Battery power,DC-DC current,DC-DC voltage,DC-DC input power,DC-DC output power,Fr drive power max,Rr regen power max,Rr drive power max,Nominal full pack,Nominal remaining,Energy buffer,SOC,Usable full pack,Usable remaining,DC Charge total,AC Charge total,Charge total,Discharge total,Regen total,Discharge cycles,Charge cycles,Battery odometer,Max discharge power,Max regen power,Rated range,Typical range,Full rated range,Full typical range,Cell temp min,Cell temp avg,Cell temp max,Cell temp diff,Cell min,Cell avg,Cell max,Cell diff,
13,380.38,18.4,6.99899199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.342,3.5868,3.233,3.84056,3.89502791666667,3.96683,0.12627,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.342,3.5868,3.233,3.84056,3.89805567708333,3.96683,0.12627,
319,379.89,26.5,10.067085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,380.01,21.7,8.24621700000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,380.4,22.3,8.48291999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,379.9,23.1,8.77569000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,380.38,20.4,7.75975199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,,,,,,,,,8,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,380.26,19.4,7.37704399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,380.39,18.8,7.15133199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,380,23.9,9.08199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,380,23.9,9.08199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,,,,33,14.2,496,468.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,380.01,25.1,9.53825100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,379.26,30.7,11.643282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,,,,34,14.2,512,482.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,379.01,31.3,11.863013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,379.11,31.2,11.828232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.342,3.5868,3.233,3.84056,3.90203973958333,3.96683,0.12627,
2265,378.65,34.1,12.911965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,379.15,31.5,11.943225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,379.15,31.2,11.82948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,,,,,,,,,8,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,379.04,30.8,11.674432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,379.76,25.9,9.83578399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2839,379.64,26,9.87064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,,,,,,,,,,,,,,,,,,,,,,,,46002.882587904,,,,,,,,,,,,,,,
2997,380.38,19.7,7.49348600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,380.61,19.5,7.421895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,,,,33,14.2,496,468.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212,380.36,19.7,7.49309200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3386,380.88,17.1,6.51304800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,380.5,17.1,6.50655000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,380.89,17.2,6.55130800000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3836,381.15,15.8,6.02216999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3837,,,,33,14.2,496,468.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3838,380.5,15.8,6.01189999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.342,3.5868,3.233,3.84056,3.906020625,3.97232,0.13176,
4120,380.66,16.6,6.31895600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4143,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,380.65,17.1,6.50911500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4452,379.99,22.8,8.66377199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,380.24,23.4,8.89761599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,380.37,24.3,9.24299099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,,,,33,14.2,496,468.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.342,3.5868,3.233,3.84056,3.90879104166667,3.97232,0.13176,
4804,379.11,30.1,11.411211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941,379.24,30.4,11.528896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4965,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5037,380.39,21.7,8.25446300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5056,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,380.64,21.6,8.22182400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5208,,,,,,,,,8,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220,380.4,20.3,7.72211999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5404,380.61,18.8,7.15546799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5503,380.74,19.4,7.38635599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5633,380.36,20,7.6072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5759,380.5,22.8,8.67539999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3538,1.3946125,3.5868,3.233,3.84056,3.90879104166667,3.97232,0.13176,
5926,380.25,22.2,8.44155000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
