UniLog;Höhe
Zeit [sec];SpannungEmpf [---];Spannung [---];Strom [---];Drehzahl [---];Höhe [---];Geschwindigkeit [---];ServoImpuls [---];Temp intern [---]
0,000; 5,250;0,000;0,000;0,000;0,000;0,000;1809,600;16,640
0,250; 5,250;0,000;0,000;0,000;0,000;0,000;1809,600;16,640
0,500; 5,250;0,000;0,000;0,000;0,000;0,000;1810,800;16,640
0,750; 5,250;0,000;0,000;0,000;0,100;0,000;1808,400;16,640
1,000; 5,250;0,000;0,000;0,000;0,100;0,000;1809,600;16,640
1,250; 5,250;0,000;0,000;0,000;0,100;0,000;1808,400;16,640
1,500; 5,250;0,000;0,000;0,000;0,100;0,000;1808,400;16,640
1,750; 5,250;0,000;0,000;0,000;0,100;0,000;1809,600;16,640
2,000; 5,200;0,000;0,000;0,000;0,100;0,000;1807,200;16,640
2,250; 5,200;0,000;0,000;0,000;0,200;0,000;1815,600;16,640
2,500; 5,180;0,000;0,000;0,000;0,400;0,000;1813,200;16,640
2,750; 5,180;0,000;0,000;0,000;0,500;0,000;1809,600;16,640
3,000; 5,200;0,000;0,000;0,000;0,500;0,000;1808,400;16,640
3,250; 5,190;0,000;0,000;0,000;0,500;0,000;1809,600;16,640
3,500; 5,200;0,000;0,000;0,000;0,400;0,000;1809,600;16,640
3,750; 5,180;0,000;0,000;0,000;0,300;0,000;1810,800;16,640
4,000; 5,200;0,000;0,000;0,000;0,300;0,000;1808,400;16,640
4,250; 5,170;0,000;0,000;0,000;0,300;0,000;1809,600;16,640
4,500; 5,160;0,000;0,000;0,000;0,300;0,000;1810,800;16,640
4,750; 5,180;0,000;0,000;0,000;0,300;0,000;1808,400;16,640
5,000; 5,190;0,000;0,000;0,000;0,300;0,000;1573,200;16,640
5,250; 5,190;0,000;0,000;0,000;0,300;0,000;1564,800;16,640
5,500; 5,190;0,000;0,000;0,000;0,200;0,000;1989,600;16,640
5,750; 5,190;0,000;0,000;0,000;0,200;0,000;2144,400;16,640
6,000; 5,210;0,000;0,000;0,000;0,200;0,000;1809,600;16,640
6,250; 5,190;0,000;0,000;0,000;0,100;0,000;1564,800;16,640
6,500; 5,220;0,000;0,000;0,000;0,000;0,000;1561,200;16,640
6,750; 5,190;0,000;0,000;0,000;0,000;0,000;1807,200;16,640
7,000; 5,230;0,000;0,000;0,000;0,000;0,000;1810,800;16,640
7,250; 5,240;0,000;0,000;0,000;0,000;0,000;1809,600;16,640
