UniLog;Motormessung
Zeit [sec];SpannungEmpf [---];Spannung [---];Strom [---];Drehzahl [---];Höhe [---];Geschwindigkeit [---];ServoImpuls [---];TempIntern [---]
0.000; 0.000;16.630;0.020;0.000;0.200;2.300;1166.000;16.700
0.250; 0.000;16.630;0.020;0.000;0.200;2.300;1166.000;16.700
0.500; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
0.750; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
1.000; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
1.250; 0.000;16.630;0.000;0.000;0.300;0.000;1167.000;16.700
1.500; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
1.750; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
2.000; 0.000;16.630;0.000;0.000;0.100;2.300;1167.000;16.700
2.250; 0.000;16.630;0.000;0.000;0.000;2.300;1167.000;16.700
2.500; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
2.750; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.700
3.000; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
3.250; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.700
3.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
3.750; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
4.000; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
4.250; 0.000;16.630;0.000;0.000;0.300;2.300;1167.000;16.700
4.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
4.750; 0.000;16.630;0.000;0.000;0.400;2.300;1166.000;16.700
5.000; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.700
5.250; 0.000;16.630;0.000;0.000;0.500;0.000;1166.000;16.700
5.500; 0.000;16.630;0.000;0.000;0.500;0.000;1166.000;16.700
5.750; 0.000;16.630;0.000;0.000;0.500;2.300;1165.000;16.700
6.000; 0.000;16.630;0.000;0.000;0.400;0.000;1166.000;16.700
6.250; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
6.500; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.700
6.750; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
7.000; 0.000;16.630;0.000;0.000;0.200;0.000;1166.000;16.700
7.250; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.800
7.500; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.700
7.750; 0.000;16.630;0.000;0.000;0.100;0.000;1166.000;16.700
8.000; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.800
8.250; 0.000;16.630;0.000;0.000;0.000;0.000;1167.000;16.800
8.500; 0.000;16.630;0.000;0.000;-0.100;2.300;1166.000;16.800
8.750; 0.000;16.630;0.000;0.000;-0.100;2.300;1167.000;16.800
9.000; 0.000;16.630;0.000;0.000;0.000;0.000;1166.000;16.800
9.250; 0.000;16.630;0.000;0.000;0.100;2.300;1166.000;16.800
9.500; 0.000;16.630;0.000;0.000;0.200;2.300;1166.000;16.800
9.750; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.000; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.250; 0.000;16.630;0.000;0.000;0.300;2.300;1166.000;16.800
10.500; 0.000;16.630;0.000;0.000;0.300;0.000;1166.000;16.800
10.750; 0.000;16.630;0.000;0.000;0.400;2.300;1166.000;16.800
11.000; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.800
11.250; 0.000;16.630;0.000;0.000;0.500;2.300;1166.000;16.800
11.500; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
11.750; 0.000;16.630;0.000;0.000;0.600;2.300;1167.000;16.800
12.000; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.250; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.500; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
12.750; 0.000;16.630;0.000;0.000;0.600;2.300;1165.000;16.800
13.000; 0.000;16.630;0.000;0.000;0.700;2.300;1167.000;16.800
13.250; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
13.500; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
13.750; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
14.000; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.800
14.250; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.800
14.500; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.800
14.750; 0.000;16.630;0.000;0.000;0.600;2.300;1166.000;16.800
15.000; 0.000;16.630;0.000;0.000;0.700;2.300;1165.000;16.800
15.250; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
15.500; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
15.750; 0.000;16.630;0.000;0.000;0.700;2.300;1166.000;16.900
16.000; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.900
16.250; 0.000;16.630;0.000;0.000;0.800;2.300;1166.000;16.900
16.500; 0.000;16.630;0.000;0.000;0.900;2.300;1166.000;16.900
16.750; 0.000;16.630;0.000;0.000;0.900;2.300;1166.000;16.900
17.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
17.250; 0.000;16.630;0.000;0.000;1.000;2.300;1165.000;16.900
17.500; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
17.750; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.500; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
18.750; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
19.000; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
19.250; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
19.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
19.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
20.000; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
20.250; 0.000;16.630;0.000;0.000;1.000;2.300;1166.000;16.900
20.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
20.750; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
21.000; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.250; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
21.750; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
22.000; 0.000;16.630;0.000;0.000;1.100;2.300;1165.000;16.900
22.250; 0.000;16.630;0.000;0.000;1.100;2.300;1167.000;16.900
22.500; 0.000;16.630;0.000;0.000;1.100;2.300;1166.000;16.900
