$N1$;Logging01
$C1$;U_Gate[V];U_Lipo[V];Current[A];Temp1[°C];Temp2[°C];Temp3[°C];U_BEC[V];Temp6[°C];Temp4[°C];TempEXT[°C];Temp5[°C];Throttle[Dec]
$I1$;100
$12.00;11.63;0.00;25.49;27.55;26.00;0.00;-67.84;-67.84;-67.84;-67.84;0;0
$12.00;11.63;0.00;24.97;27.55;26.00;4.85;26.00;26.52;5.38;26.00;0;0
$11.98;11.63;0.00;25.49;28.07;25.49;4.87;26.00;27.03;-7.00;26.52;0;0
$11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.00;27.03;118.30;26.52;0;0
$11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.52;27.55;18.78;26.00;0;0
$11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.52;26.52;10.02;26.52;0;0
$11.98;11.63;0.00;26.00;28.07;26.00;4.85;26.00;26.52;9.50;26.52;0;0
$11.98;11.63;0.00;25.49;28.07;26.00;4.85;26.00;27.03;10.02;26.52;0;0
$11.98;11.63;0.00;24.97;28.58;26.00;4.85;26.52;27.03;10.02;26.52;0;0
$11.98;11.63;0.00;25.49;29.10;26.00;4.85;26.00;27.55;9.50;26.52;0;0
$11.98;11.63;0.00;26.00;29.10;26.00;4.85;26.52;27.55;10.02;26.00;0;0
$11.98;11.63;0.00;25.49;29.10;26.00;4.85;26.52;27.55;10.02;26.00;0;0
$11.98;11.63;0.00;26.00;29.10;26.52;4.85;26.52;27.03;13.63;26.52;0;0
$11.98;11.63;0.00;25.49;29.10;26.00;4.83;27.03;27.55;8.47;26.00;0;0
$11.98;11.63;0.00;26.00;29.10;26.00;4.85;27.55;27.03;10.02;26.00;0;0
$11.98;11.63;0.00;26.00;29.10;26.00;4.85;26.52;27.03;8.99;26.52;0;0
$11.98;11.63;0.00;25.49;30.13;26.52;4.85;26.52;27.55;8.99;26.52;0;0
$11.98;11.63;0.00;26.00;29.61;26.00;4.87;27.03;28.07;9.50;26.52;0;0
$11.98;11.63;0.00;25.49;29.10;26.52;4.85;27.03;28.07;8.99;26.52;0;0
$11.98;11.63;0.00;26.00;30.13;26.52;4.87;27.03;28.07;9.50;26.52;0;0
$11.98;11.63;0.00;26.00;30.13;26.00;4.87;27.03;28.07;8.99;26.52;0;0
$11.98;11.63;0.00;26.00;30.13;26.52;4.87;27.55;27.55;9.50;27.03;0;0
$11.98;11.63;0.00;26.00;29.61;26.52;4.85;27.55;28.07;269.38;26.52;0;0
$11.98;11.63;0.00;26.00;29.10;27.03;4.83;27.55;28.58;251.33;26.52;0;0
$11.98;11.63;0.00;26.00;30.13;26.52;4.83;27.03;28.58;258.55;26.52;0;0
$11.98;11.63;0.00;26.52;29.61;27.03;4.83;27.03;28.58;12.60;27.03;0;0
$11.98;11.63;0.00;26.00;29.61;26.00;4.85;27.03;28.58;10.02;27.03;0;0
$11.98;11.63;0.00;27.03;29.61;26.52;4.85;27.03;28.58;9.50;27.03;0;0
$11.98;11.63;0.00;26.00;29.61;26.52;4.85;27.55;28.07;9.50;27.03;0;0
$11.98;11.63;0.00;26.52;30.13;26.52;4.83;27.03;28.58;10.02;27.03;0;0
$11.98;11.70;0.00;26.52;29.61;26.52;4.87;27.03;29.10;9.50;27.03;0;0
$11.98;11.63;0.00;26.52;29.10;27.03;4.85;27.55;29.10;10.02;26.52;0;0
$11.98;11.63;0.00;26.52;29.61;26.52;4.85;27.55;28.58;10.53;27.03;0;0
$11.98;11.63;0.00;26.52;30.13;26.52;4.85;27.03;28.58;10.53;27.03;0;0
$11.98;11.63;0.00;27.03;30.64;27.03;4.83;27.55;28.58;4.86;27.03;0;0
$N2$;Logging01
$C2$;U_Gate[V];U_Lipo[V];Current[A];Temp1[°C];Temp2[°C];Temp3[°C];U_BEC[V];Temp6[°C];Temp4[°C];TempEXT[°C];Temp5[°C];Throttle[Dec];Rotations[RPM]
$I2$;100
$2$;12.00;11.63;0.00;25.49;27.55;26.00;0.00;-67.84;-67.84;-67.84;-67.84;0;0
$2$;12.00;11.63;0.00;24.97;27.55;26.00;4.85;26.00;26.52;5.38;26.00;0;0
$2$;11.98;11.63;0.00;25.49;28.07;25.49;4.87;26.00;27.03;-7.00;26.52;0;0
$2$;11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.00;27.03;118.30;26.52;0;0
$2$;11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.52;27.55;18.78;26.00;0;0
$2$;11.98;11.63;0.00;25.49;28.58;25.49;4.85;26.52;26.52;10.02;26.52;0;0
$2$;11.98;11.63;0.00;26.00;28.07;26.00;4.85;26.00;26.52;9.50;26.52;0;0
$2$;11.98;11.63;0.00;25.49;28.07;26.00;4.85;26.00;27.03;10.02;26.52;0;0
$2$;11.98;11.63;0.00;24.97;28.58;26.00;4.85;26.52;27.03;10.02;26.52;0;0
$2$;11.98;11.63;0.00;25.49;29.10;26.00;4.85;26.00;27.55;9.50;26.52;0;0
$2$;11.98;11.63;0.00;26.00;29.10;26.00;4.85;26.52;27.55;10.02;26.00;0;0
$2$;11.98;11.63;0.00;25.49;29.10;26.00;4.85;26.52;27.55;10.02;26.00;0;0
$2$;11.98;11.63;0.00;26.00;29.10;26.52;4.85;26.52;27.03;13.63;26.52;0;0
$2$;11.98;11.63;0.00;25.49;29.10;26.00;4.83;27.03;27.55;8.47;26.00;0;0
$2$;11.98;11.63;0.00;26.00;29.10;26.00;4.85;27.55;27.03;10.02;26.00;0;0
$2$;11.98;11.63;0.00;26.00;29.10;26.00;4.85;26.52;27.03;8.99;26.52;0;0
$2$;11.98;11.63;0.00;25.49;30.13;26.52;4.85;26.52;27.55;8.99;26.52;0;0
$2$;11.98;11.63;0.00;26.00;29.61;26.00;4.87;27.03;28.07;9.50;26.52;0;0
$2$;11.98;11.63;0.00;25.49;29.10;26.52;4.85;27.03;28.07;8.99;26.52;0;0
$2$;11.98;11.63;0.00;26.00;30.13;26.52;4.87;27.03;28.07;9.50;26.52;0;0
$2$;11.98;11.63;0.00;26.00;30.13;26.00;4.87;27.03;28.07;8.99;26.52;0;0
$2$;11.98;11.63;0.00;26.00;30.13;26.52;4.87;27.55;27.55;9.50;27.03;0;0
$2$;11.98;11.63;0.00;26.00;29.61;26.52;4.85;27.55;28.07;269.38;26.52;0;0
$2$;11.98;11.63;0.00;26.00;29.10;27.03;4.83;27.55;28.58;251.33;26.52;0;0
$2$;11.98;11.63;0.00;26.00;30.13;26.52;4.83;27.03;28.58;258.55;26.52;0;0
$2$;11.98;11.63;0.00;26.52;29.61;27.03;4.83;27.03;28.58;12.60;27.03;0;0
$2$;11.98;11.63;0.00;26.00;29.61;26.00;4.85;27.03;28.58;10.02;27.03;0;0
$2$;11.98;11.63;0.00;27.03;29.61;26.52;4.85;27.03;28.58;9.50;27.03;0;0
$2$;11.98;11.63;0.00;26.00;29.61;26.52;4.85;27.55;28.07;9.50;27.03;0;0
$2$;11.98;11.63;0.00;26.52;30.13;26.52;4.83;27.03;28.58;10.02;27.03;0;0
$2$;11.98;11.70;0.00;26.52;29.61;26.52;4.87;27.03;29.10;9.50;27.03;0;0
$2$;11.98;11.63;0.00;26.52;29.10;27.03;4.85;27.55;29.10;10.02;26.52;0;0
$2$;11.98;11.63;0.00;26.52;29.61;26.52;4.85;27.55;28.58;10.53;27.03;0;0
$2$;11.98;11.63;0.00;26.52;30.13;26.52;4.85;27.03;28.58;10.53;27.03;0;0
$2$;11.98;11.63;0.00;27.03;30.64;27.03;4.83;27.55;28.58;4.86;27.03;0;0

