;;;;;;;;;;;;;;;;;0;0;0;1;1;1;4;4;4;7;8;8;8;8;8;8;16;16;18;19;20;21;22;24;25;25;25;28;28;28;31;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;VARIO F1712;VARIO F1712;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE F1713 ;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;CURRENT F1678;RPM SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;ALTITUDE;VARIOMETER;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;CURRENT;VOLTAGE;CAPACITY;CURRENT;VOLTAGE;CAPACITY;ROTATION;
0;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;---;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3775;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
159;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3776;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
386;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3776;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
639;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3776;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
873;-14,0;11,5;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3776;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
1100;-14,0;11,6;83,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7952;E 10:57.3776;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
1353;-14,0;11,6;52,7;17,4;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
1583;-14,0;11,6;-108,6;17,3;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,7;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
1836;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,6;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
2063;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
2319;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
2546;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
2799;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1966;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
3030;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
3282;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3777;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
3510;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
3740;-14,0;11,6;-119,9;17,6;-24,7;4,5;-152,2;139,9;-100,0;0,0;-100,0;3,4;0,0;0,0;0,0;0,0;  7,2;  0,0;3;   0,0;  7,7;  1965;---;---;---;     0;    0;  0;    0;   0,0;N 50:17.7951;E 10:57.3778;---;---;---;---;---;---;---;  22;   0,0;  7,6;  2900;   0,0;  0,0;     0;     0;
