;;;;;;;;;;;;;;;;;0;0;0;1;1;3;3;3;6;7;8;8;8;8;8;8;16;16;16;19;19;21;22;23;24;25;
;;;;;;;;;;;;;;;;;RECEIVER;RECEIVER;RECEIVER;VARIO F1712;VARIO F1712;CURRENT F1678;CURRENT F1678;CURRENT F1678;TEMPERATURE SENSOR;TEMPERATURE F1713 ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;GPS F1675  ;CURRENT F1678;CURRENT F1678;CURRENT F1678;VARIO F1712;VARIO F1712;RPM SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;TEMPERATURE SENSOR;
TIME;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;BATTERY;EXTERNAL BATTERY;STATUS;ALTITUDE;VARIOMETER;CURRENT;VOLTAGE;CAPACITY;TEMPERATURE;TEMPERATURE;DISTANCE;SPEED;ALTITUDE;VARIOMETER;LATITUDE;LONGITUDE;CURRENT;VOLTAGE;CAPACITY;ALTITUDE;VARIOMETER;ROTATION;TEMPERATURE;TEMPERATURE;TEMPERATURE;TEMPERATURE;
0;7,6;5,1;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;0,0;-100,0;0,0;129,8;---;  0,0;3;    0;   0,0;   0,0; 25,0;     2; 111;   6;21467;  0;    0;   0,0;N 46:36.9544;E 13:56.4983;   0,0; 25,0;     0;    0;   0,0;     0;   1;  -1;  33;  34;
1043;7,6;5,1;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;0,0;-100,0;0,0;129,8;---;  0,0;3;    0;   0,0;   0,0; 25,0;     2; 109;   7;    0;  0;   -1;   0,0;N 46:36.9544;E 13:56.4983;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
2085;7,4;4,9;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;0,0;-100,0;0,0;129,8;---;  0,0;3;    0;   0,0;   0,0; 25,0;     2; 109;   7;    1;  0;   -1;   0,0;N 46:36.9544;E 13:56.4983;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
3127;7,6;5,1;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;0,0;-100,0;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2; 108;   7;    1;  0;   -1;   0,0;N 46:36.9544;E 13:56.4984;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
4169;7,6;5,1;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;0,0;-100,0;0,0;129,8;  5,5;  0,0;3;    0;   0,0;   0,0; 25,0;     2; 108;   7;    1;  0;   -1;   0,0;N 46:36.9544;E 13:56.4984;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
5227;10,0;2,7;-135,0;19,5;-6,0;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;   -1;   0,0;   0,0; 25,0;     2; 107;   7;    1;  0;   -1;   0,0;N 46:36.9544;E 13:56.4985;   0,0; 25,0;     0;   -1;   0,0;     0;   1;  -1;  33;  34;
6270;10,0;2,7;-135,0;19,6;-5,8;18,7;129,8;-7,0;-33,9;72,6;0,0;0,0;-11,9;-18,2;0,0;129,8;  5,5;  0,0;3;   -1;   0,0;   0,0; 25,0;     2; 106;   7;    1;  0;   -1;   0,0;N 46:36.9544;E 13:56.4987;   0,0; 25,0;     0;   -1;   0,0;     0; 179;  -1;  33;  34;
