Zeit [s];Spannung [V];Strom [A];Ladung [mAh];Leistung [W];Energie [Wh]
0;  4,535;  1,500;  2,000;  6,803;  0,002
10;  4,535;  1,500;  2,000;  6,803;  0,004
20;  4,605;  1,500;  7,000;  6,908;  0,006
30;  4,670;  1,500; 10,000;  7,005;  0,008
40;  4,720;  1,500; 15,000;  7,080;  0,010
50;  4,770;  1,500; 19,000;  7,155;  0,012
60;  4,805;  1,500; 23,000;  7,207;  0,014
70;  4,835;  1,500; 27,000;  7,252;  0,016
80;  4,865;  1,500; 31,000;  7,298;  0,018
90;  4,910;  1,500; 35,000;  7,365;  0,020
100;  4,920;  1,500; 39,000;  7,380;  0,022
110;  4,940;  1,500; 43,000;  7,410;  0,024
120;  4,975;  1,500; 47,000;  7,462;  0,026
130;  4,995;  1,500; 52,000;  7,492;  0,028
140;  5,015;  1,500; 56,000;  7,522;  0,030
150;  5,045;  1,500; 60,000;  7,567;  0,032
160;  5,045;  1,500; 64,000;  7,567;  0,034
170;  5,085;  1,500; 68,000;  7,627;  0,036
180;  5,090;  1,500; 72,000;  7,635;  0,038
190;  5,095;  1,500; 76,000;  7,643;  0,041
200;  5,115;  1,500; 80,000;  7,673;  0,043
210;  5,130;  1,500; 85,000;  7,695;  0,045
220;  5,150;  1,500; 89,000;  7,725;  0,047
230;  5,145;  1,500; 93,000;  7,717;  0,049
240;  5,175;  1,500; 97,000;  7,762;  0,051
250;  5,190;  1,500;101,000;  7,785;  0,053
260;  5,205;  1,500;105,000;  7,808;  0,056
270;  5,195;  1,500;110,000;  7,793;  0,058
280;  5,205;  1,500;114,000;  7,808;  0,060
290;  5,230;  1,500;118,000;  7,845;  0,062
300;  5,230;  1,500;122,000;  7,845;  0,064
310;  5,240;  1,500;126,000;  7,860;  0,067
320;  5,255;  1,500;130,000;  7,883;  0,069
330;  5,270;  1,500;134,000;  7,905;  0,071
340;  5,285;  1,500;138,000;  7,928;  0,073
350;  5,280;  1,500;142,000;  7,920;  0,075
360;  5,295;  1,500;147,000;  7,942;  0,078
370;  5,295;  1,500;147,000;  7,942;  0,080
380;  5,270;  1,500;151,000;  7,905;  0,082
390;  5,305;  1,500;155,000;  7,957;  0,084
400;  5,320;  1,500;159,000;  7,980;  0,086
410;  5,305;  1,500;163,000;  7,957;  0,089
420;  5,320;  1,500;167,000;  7,980;  0,091
430;  5,345;  1,500;171,000;  8,018;  0,093
440;  5,340;  1,500;175,000;  8,010;  0,095
450;  5,345;  1,500;180,000;  8,018;  0,097
460;  5,360;  1,500;184,000;  8,040;  0,100
470;  5,355;  1,500;188,000;  8,033;  0,102
480;  5,345;  1,500;192,000;  8,018;  0,104
490;  5,355;  1,500;196,000;  8,033;  0,106
500;  5,365;  1,500;200,000;  8,047;  0,109
510;  5,370;  1,500;204,000;  8,055;  0,111
520;  5,370;  1,500;208,000;  8,055;  0,113
530;  5,390;  1,500;212,000;  8,085;  0,115
540;  5,385;  1,500;217,000;  8,078;  0,118
550;  5,380;  1,500;221,000;  8,070;  0,120
560;  5,390;  1,500;225,000;  8,085;  0,122
570;  5,400;  1,500;229,000;  8,100;  0,124
580;  5,410;  1,500;233,000;  8,115;  0,127
590;  5,400;  1,500;237,000;  8,100;  0,129
600;  5,405;  1,500;241,000;  8,107;  0,131
610;  5,420;  1,500;245,000;  8,130;  0,133
620;  5,410;  1,500;250,000;  8,115;  0,136
630;  5,420;  1,500;254,000;  8,130;  0,138
640;  5,430;  1,500;258,000;  8,145;  0,140
650;  5,445;  1,500;262,000;  8,168;  0,142
660;  5,435;  1,500;266,000;  8,152;  0,145
670;  5,450;  1,500;270,000;  8,175;  0,147
680;  5,435;  1,500;274,000;  8,152;  0,149
690;  5,435;  1,500;278,000;  8,152;  0,151
700;  5,445;  1,500;282,000;  8,168;  0,154
710;  5,440;  1,500;287,000;  8,160;  0,156
720;  5,445;  1,500;291,000;  8,168;  0,158
730;  5,440;  1,500;295,000;  8,160;  0,161
740;  5,450;  1,500;299,000;  8,175;  0,163
750;  5,455;  1,500;303,000;  8,183;  0,165
760;  5,460;  1,500;307,000;  8,190;  0,167
770;  5,465;  1,500;312,000;  8,197;  0,170
780;  5,465;  1,500;316,000;  8,197;  0,172
790;  5,460;  1,500;320,000;  8,190;  0,174
800;  5,455;  1,500;324,000;  8,183;  0,176
810;  5,470;  1,500;328,000;  8,205;  0,179
820;  5,480;  1,500;332,000;  8,220;  0,181
830;  5,475;  1,500;336,000;  8,212;  0,183
840;  5,475;  1,500;340,000;  8,212;  0,186
850;  5,475;  1,500;345,000;  8,212;  0,188
860;  5,495;  1,500;349,000;  8,242;  0,190
870;  5,495;  1,500;353,000;  8,242;  0,192
880;  5,485;  1,500;357,000;  8,228;  0,195
890;  5,490;  1,500;361,000;  8,235;  0,197
900;  5,490;  1,500;365,000;  8,235;  0,199
910;  5,490;  1,500;369,000;  8,235;  0,202
920;  5,490;  1,500;373,000;  8,235;  0,204
930;  5,490;  1,500;377,000;  8,235;  0,206
940;  5,490;  1,500;382,000;  8,235;  0,208
950;  5,510;  1,500;386,000;  8,265;  0,211
960;  5,495;  1,500;390,000;  8,242;  0,213
970;  5,515;  1,500;394,000;  8,272;  0,215
980;  5,510;  1,500;398,000;  8,265;  0,218
990;  5,505;  1,500;402,000;  8,258;  0,220
1000;  5,525;  1,500;406,000;  8,288;  0,222
1010;  5,505;  1,500;410,000;  8,258;  0,224
1020;  5,525;  1,500;415,000;  8,288;  0,227
1030;  5,495;  1,500;419,000;  8,242;  0,229
1040;  5,520;  1,500;423,000;  8,280;  0,231
1050;  5,525;  1,500;427,000;  8,288;  0,234
1060;  5,520;  1,500;431,000;  8,280;  0,236
1070;  5,515;  1,500;435,000;  8,272;  0,238
1080;  5,525;  1,500;439,000;  8,288;  0,241
1090;  5,535;  1,500;443,000;  8,303;  0,243
1100;  5,525;  1,500;447,000;  8,288;  0,245
1110;  5,525;  1,500;452,000;  8,288;  0,248
1120;  5,535;  1,500;456,000;  8,303;  0,250
1130;  5,550;  1,500;460,000;  8,325;  0,252
1140;  5,535;  1,500;464,000;  8,303;  0,254
1150;  5,535;  1,500;468,000;  8,303;  0,257
1160;  5,540;  1,500;472,000;  8,310;  0,259
1170;  5,540;  1,500;476,000;  8,310;  0,261
1180;  5,535;  1,500;480,000;  8,303;  0,264
1190;  5,550;  1,500;485,000;  8,325;  0,266
1200;  5,540;  1,500;489,000;  8,310;  0,268
1210;  5,550;  1,500;493,000;  8,325;  0,271
1220;  5,560;  1,500;497,000;  8,340;  0,273
1230;  5,545;  1,500;501,000;  8,317;  0,275
1240;  5,555;  1,500;505,000;  8,332;  0,278
1250;  5,550;  1,500;510,000;  8,325;  0,280
1260;  5,565;  1,500;513,000;  8,348;  0,282
1270;  5,565;  1,500;517,000;  8,348;  0,284
1280;  5,565;  1,500;522,000;  8,348;  0,287
1290;  5,565;  1,500;526,000;  8,348;  0,289
1300;  5,565;  1,500;530,000;  8,348;  0,291
1310;  5,565;  1,500;534,000;  8,348;  0,294
1320;  5,565;  1,500;538,000;  8,348;  0,296
1330;  5,565;  1,500;542,000;  8,348;  0,298
1340;  5,565;  1,500;547,000;  8,348;  0,301
1350;  5,575;  1,500;551,000;  8,363;  0,303
1360;  5,580;  1,500;555,000;  8,370;  0,305
1370;  5,570;  1,500;559,000;  8,355;  0,308
1380;  5,565;  1,500;563,000;  8,348;  0,310
1390;  5,575;  1,500;567,000;  8,363;  0,312
1400;  5,575;  1,500;571,000;  8,363;  0,315
1410;  5,585;  1,500;575,000;  8,377;  0,317
1420;  5,595;  1,500;580,000;  8,393;  0,319
1430;  5,585;  1,500;584,000;  8,377;  0,322
1440;  5,580;  1,500;588,000;  8,370;  0,324
1450;  5,595;  1,500;592,000;  8,393;  0,326
1460;  5,595;  1,500;596,000;  8,393;  0,329
1470;  5,575;  1,500;600,000;  8,363;  0,331
1480;  5,585;  1,500;604,000;  8,377;  0,333
1490;  5,585;  1,500;608,000;  8,377;  0,336
1500;  5,600;  1,500;612,000;  8,400;  0,338
1510;  5,600;  1,500;617,000;  8,400;  0,340
1520;  5,605;  1,500;621,000;  8,408;  0,343
1530;  5,600;  1,500;625,000;  8,400;  0,345
1540;  5,605;  1,500;629,000;  8,408;  0,347
1550;  5,605;  1,500;633,000;  8,408;  0,350
1560;  5,610;  1,500;637,000;  8,415;  0,352
1570;  5,615;  1,500;641,000;  8,422;  0,354
1580;  5,605;  1,500;645,000;  8,408;  0,357
1590;  5,615;  1,500;650,000;  8,422;  0,359
1600;  5,605;  1,500;654,000;  8,408;  0,361
1610;  5,620;  1,500;658,000;  8,430;  0,364
1620;  5,625;  1,500;662,000;  8,438;  0,366
1630;  5,615;  1,500;666,000;  8,422;  0,368
1640;  5,625;  1,500;670,000;  8,438;  0,371
1650;  5,625;  1,500;674,000;  8,438;  0,373
1660;  5,640;  1,500;678,000;  8,460;  0,375
1670;  5,620;  1,500;682,000;  8,430;  0,378
1680;  5,635;  1,500;687,000;  8,453;  0,380
1690;  5,625;  1,500;691,000;  8,438;  0,382
1700;  5,635;  1,500;695,000;  8,453;  0,385
1710;  5,650;  1,500;699,000;  8,475;  0,387
1720;  5,655;  1,500;703,000;  8,482;  0,389
1730;  5,645;  1,500;707,000;  8,467;  0,392
1740;  5,650;  1,500;711,000;  8,475;  0,394
1750;  5,650;  1,500;715,000;  8,475;  0,397
1760;  5,660;  1,500;720,000;  8,490;  0,399
1770;  5,645;  1,500;724,000;  8,467;  0,401
1780;  5,655;  1,500;728,000;  8,482;  0,404
1790;  5,655;  1,500;732,000;  8,482;  0,406
1800;  5,665;  1,500;736,000;  8,498;  0,408
1810;  5,670;  1,500;740,000;  8,505;  0,411
1820;  5,670;  1,500;745,000;  8,505;  0,413
1830;  5,670;  1,500;749,000;  8,505;  0,415
1840;  5,670;  1,500;753,000;  8,505;  0,418
1850;  5,685;  1,500;757,000;  8,527;  0,420
1860;  5,675;  1,500;761,000;  8,512;  0,422
1870;  5,685;  1,500;765,000;  8,527;  0,425
1880;  5,685;  1,500;765,000;  8,527;  0,427
